region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,activite_statut,operateur,lon,lat
Savanes,Oti,Oti 1,Mango,Djabou ,Agence Togocom Mango,"Agence Togocom Mango, Djabou ",{Utilise},Togocom,0.465361704808692,10.35530386025091
Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua,Agence Moov Sotouboua,"Agence Moov Sotouboua, Sotouboua",{Utilise},Moov,0.9770733333333333,8.560676666666666
Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Kossobio,Agence Moov Sokode,"Agence Moov Sokode, Kossobio, 400BP7010/C Direction",{Utilise},Moov,1.1388047548912492,8.989586208250028
Centrale,Blitta,Blitta 1,Blitta-Village,Blitta Sous L'antenne ,Agence Moov Blitta Sous L'Antenne ,"Agence Moov Blitta Sous L'Antenne , Blitta Sous L'Antenne ",{Utilise},Moov,1.0083930421985017,8.339181715780521
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe,Moov Store Agoe,"Moov Store Agoe, Agoe",{Utilise},Moov,1.2093339414432598,6.2217219240318204
Maritime,Golfe,Golfe 6,Baguida,Baguida,Moov Store Baguida,"Moov Store Baguida, Baguida",{Utilise},Moov,1.3379933333333334,6.167401666666666
Maritime,Golfe,Golfe 7,Aflao-Sagbado,Sagbado,Agence Moov Sagbado,"Agence Moov Sagbado, Sagbado",{Utilise},Moov,1.13712,6.1936800000000005
Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Telessou ,Agence Moov Store Telessou,"Agence Moov Store Telessou, Telessou ",Nsp,Moov,1.1745742061042703,6.213509940345563
Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidoadin,Agence Moov Adidoadin,"Agence Moov Adidoadin, Adidoadin",Nsp,Moov,1.1883008398175776,6.199214219034881
Maritime,Golfe,Golfe 3,Bè-Ouest,Nukafu,Agence Moov Nukafu,"Agence Moov Nukafu, Nukafu",{Utilise},Moov,1.2344614186634568,6.170216280162648
Maritime,Golfe,Golfe 1,Bè-Est,Kpota,Agence Moov Be Kpota,"Agence Moov Be Kpota, Kpota",{Utilise},Moov,1.2552833333333333,6.157663333333333
Maritime,Golfe,Golfe 1,Bè-Est,Ocam,Agence Moov Ocam,"Agence Moov Ocam, Ocam, BP14511 Lomé ",{Utilise},Moov,1.24004,6.130493333333334
Maritime,Golfe,Golfe 4,Amoutivé,Hanoukope,Agence Moov Hanoukope,"Agence Moov Hanoukope, Hanoukope",{Utilise},Moov,1.219526636567681,6.135790653612904
Maritime,Golfe,Golfe 1,Bè-Est,Adakpame,Agence Moov Teddycom Adakpame,"Agence Moov Teddycom Adakpame, Adakpame, 21BP182",{Utilise},Moov,1.2848016666666666,6.159930000000001
Maritime,Golfe,Golfe 1,Bè-Est,Akodessewa,Agence Moov Akodessewa,"Agence Moov Akodessewa, Akodessewa",{Utilise},Moov,1.2537440894895422,6.149535176503007
Maritime,Golfe,Golfe 5,Aflao-Gakli,Adjidogome,Agence Moov Adidogome,"Agence Moov Adidogome, Adjidogome, BP14511 Lomé ",{Utilise},Moov,1.1666133333333333,6.185315000000001
Maritime,Golfe,Golfe 1,Bè-Est,Privilège ,Agence Moov Privilège,"Agence Moov Privilège, Privilège ",{Utilise},Moov,1.2407955937059894,6.152183407357222
Maritime,Zio,Zio 1,Tsévié,Daviemondji,Moov Store Tsevie,"Moov Store Tsevie, Daviemondji",{Utilise},Moov,1.2091516666666666,6.410936666666667
Maritime,Golfe,Golfe 2,Bè-Centre,Aeroport Lome,Agence Moov Aeroport Lome,"Agence Moov Aeroport Lome, Aeroport Lome",{Utilise},Moov,1.2530180124498576,6.170390811463834
Kara,Kozah,Kozah 1,Commune De Kara,Batassoukome,Agence Moov Kara,"Agence Moov Kara, Batassoukome",{Utilise},Moov,1.1884416666666666,9.546851666666667
Kara,Bassar,Bassar 1,Bassar,Bassar,Agence Moov Bassar,"Agence Moov Bassar, Bassar",{Utilise},Moov,0.781485,9.262368333333335
Maritime,Zio,Zio 1,Djagblé,Djagble Centre,Moov Store Djagble Centre,"Moov Store Djagble Centre, Djagble Centre",{Utilise},Moov,1.282715644370347,6.253717219782764
Maritime,Avé,Avé 1,Assahoun,Kpetoume ,Agence Moov Kpetoume ,"Agence Moov Kpetoume , Kpetoume ",{Utilise},Moov,0.9153915164331609,6.448079479499792
Plateaux,Kloto,Kloto 1,Agome-Kpalime,Atakpame Kondji,Agence Moov Atakpame Kondji,"Agence Moov Atakpame Kondji, Atakpame Kondji",{Utilise},Moov,0.6323238302268985,6.912437527210687
Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,Kpele Adeta ,Moov Store de Kpele Adeta,"Moov Store de Kpele Adeta, Kpele Adeta ",{Utilise},Moov,0.7312633333333333,7.132038333333332
Plateaux,Anié,Anié 1,Anié,Anie,Agence Moov Anie,"Agence Moov Anie, Anie",{Utilise},Moov,1.1934399999999998,7.759781666666667
Plateaux,Haho,Haho 1,Notsé,Tegbe,Agence Moov Notse,"Agence Moov Notse, Tegbe",{Utilise},Moov,1.1710633871826346,6.953371969046462
Savanes,Tône,Tône 1,Dapaong,"Dapaong, Quartier Natebagou",Franchise Moov Dapaong,"Franchise Moov Dapaong, Dapaong, Quartier Natebagou",{Utilise},Moov,0.2028833333333333,10.876091666666666
Savanes,Cinkassé,Cinkassé 1,Cinkassé,Cinkanssé ,Franchise Moov Cinkanssé,"Franchise Moov Cinkanssé, Cinkanssé ",{Utilise},Moov,0.020775,11.097228333333332
