adm2_pcode,adm2_name,adm3_pcode,adm3_name,center_lat,center_lon,area_sqkm
TG0104,Tchamba,TG010405,Goubi,8.6302145,1.50340079,154.33528576
TG0517,Cinkasse,TG051705,Gouloungoussi,11.117492,-0.12001425,15.00109089
TG0515,Tandjoare,TG051506,Goundoga,10.7145015,0.16995958,33.71896761
TG0407,Kpele,TG040704,Govie,7.1548805,0.74436355,43.74019724
TG0204,Dankpen,TG020402,Guerin-Kouka,9.729194,0.56844487,441.03967507
TG0306,Vo,TG030605,Hahotoe,6.3964085,1.38973692,38.92518801
TG0412,Kloto,TG041204,Hanyigba,6.898516,0.60118267,34.24041928
TG0206,Keran,TG020603,Helota,9.9136215,0.74515651,201.44932607
TG0401,Amou,TG040107,Hiheatro,7.581222,1.04808401,221.32544293
TG0302,Bas-Mono,TG030204,Hompou,6.4188905,1.71718071,40.08802423
TG0409,Ogou,TG040905,Houdou,7.6041065,1.1774126,67.48655252
TG0401,Amou,TG040108,Imle,7.4623525,0.99325036,95.7897072
TG0104,Tchamba,TG010406,Kaboli,8.5985825,1.35914417,935.54111888
TG0202,Bassar,TG020206,Kabou,9.507899,0.78489463,388.4234365
TG0105,Tchaoudjo,TG010503,Kadambara,8.8192765,1.24475762,323.92108263
TG0205,Doufelgou,TG020505,Kadjalla,9.8031745,0.93883608,100.9149605
TG0102,Plaine du Mo,TG010203,Kagnigbara,8.9020805,0.64652576,235.54573333
TG0202,Bassar,TG020207,Kalanga,9.2734475,0.67252288,122.49660587
TG0407,Kpele,TG040705,Kame,7.229914,0.85264315,75.58346203
TG0405,Est-Mono,TG040504,Kamina,8.101369,1.56810809,581.69319712
TG0410,Akebou,TG041003,Kamina,7.93551,0.91509588,358.08055235
TG0206,Keran,TG020604,Kande,9.976506,1.07890567,282.69426768
TG0103,Sotouboua,TG010305,Kaniamboua,8.604154,1.00262794,31.93987984
TG0516,Tone,TG051603,Kantindi,10.91796,0.26895922,82.8000414
TG0204,Dankpen,TG020403,Katchamba,9.8740735,0.51456723,135.6674787
TG0101,Blitta,TG010108,Katchenke,8.253238,0.69626505,115.38520462
TG0408,Moyen-Mono,TG040802,Katome,7.3725795,1.61528325,24.0583501
TG0409,Ogou,TG040906,Katore,7.383606,1.31635783,277.38161312
TG0103,Sotouboua,TG010306,Kazaboua,8.420729,1.14280383,202.56353899
TG0105,Tchaoudjo,TG010504,Kemeni,9.1958185,1.2783,117.16222311
TG0203,Binah,TG020302,Kemerida,9.6171045,1.3493335,44.31056683
TG0402,Wawa,TG040204,Kessibo,7.640493,0.61540835,107.66663866
TG0203,Binah,TG020303,Ketao,9.6727615,1.32053667,48.82683483
TG0301,Ave,TG030105,Keve,6.478304,1.01955256,105.78303589
TG0204,Dankpen,TG020404,Kidjaboun,9.7710575,0.44159775,340.62671867
TG0307,Yoto,TG030705,Kini-Kondji,6.5853885,1.54829289,29.31897559
TG0402,Wawa,TG040205,Klabe Efoukpa,7.6021335,0.73730889,196.44389187
TG0101,Blitta,TG010109,Koffiti,8.020972,1.14081409,182.82961489
TG0205,Doufelgou,TG020506,Koka,9.789666,1.14633846,19.74790731
TG0105,Tchaoudjo,TG010505,Kolina,9.0832715,1.17894132,110.34050447
TG0411,Anie,TG041105,Kolokope,7.765361,1.29423019,224.20016547
TG0105,Tchaoudjo,TG010506,Komah,8.996462,1.16250722,95.50859639
TG0516,Tone,TG051604,Korbongou,10.945408,0.32087691,92.69024857
TG0410,Akebou,TG041004,Kougnohou,7.6911035,0.81062451,96.48751882
TG0204,Dankpen,TG020405,Koulfiekou,9.9347875,0.41119336,167.93817176
TG0412,Kloto,TG041205,Kouma,6.98502,0.57993732,59.88871052
TG0207,Kozah,TG020705,Koumea,9.713715,1.20418464,50.77520106
TG0201,Assoli,TG020105,Koumonde,9.2799335,1.27996485,58.65125951
TG0519,Oti-Sud,TG051902,Koumongou,10.159242,0.5004213,115.78858281
TG0513,Kpendjal,TG051302,Koundjoare,10.9275,0.6408151,225.79584901
TG0519,Oti-Sud,TG051903,Kountoire,10.089755,0.62816625,241.61246141
TG0516,Tone,TG051605,Kourientre,11.0065525,0.23350296,41.99613422
TG0104,Tchamba,TG010407,Koussountou,8.8473625,1.49189538,470.07729505
TG0204,Dankpen,TG020406,Koutchitcheou,9.626668,0.76722978,43.17752585
TG0206,Keran,TG020605,Koutougou,10.0600605,1.21473151,179.74854496
TG0307,Yoto,TG030706,Kouve,6.724689,1.4022068,317.66625095
TG0308,Zio,TG030812,Kovie,6.3331795,1.08878846,48.34605211
TG0412,Kloto,TG041206,Kpadape,6.8009835,0.59968711,65.80110344
