region_nom_bdd,prefecture_nom_bdd,canton_nom_bdd,nb_agences,nb_agents_mobile_money,lon,lat,sans_agence_operateur,rang_desserte_mm,zone_prioritaire,dist_km_agence_plus_proche,dist_km_agent_mm_plus_proche,population_totale,population_masculin,population_feminin,population_method,adm2_name_hdx,adm3_name_hdx,adm3_pcode_hdx,area_sqkm_hdx,densite_pop_par_km2,agences_pour_10k_hab,agents_mm_pour_10k_hab
Kara,Bassar,Bangeli,0.0,40,0.6307733556972828,9.42269849209395,True,293.0,False,20.19,0.34,15571,7878,7693,exact,Bassar,Bangeli,TG020202,207.41211323,75.1,0.0,25.69
Kara,Bassar,Bassar,2.0,257,0.7844644248979205,9.259966070018697,False,355.0,False,0.42,0.21,45846,23011,22835,exact,Bassar,Bassar,TG020203,1285.57790891,35.7,0.44,56.06
Kara,Bassar,Bitchabe,0.0,4,0.5804862700029515,9.317571539563392,True,43.0,True,22.85,0.75,7142,3661,3481,exact,Bassar,Bitchabe,TG020204,150.30261516,47.5,0.0,5.6
Kara,Bassar,Dimori,0.0,10,0.5880601666666666,9.179001333333334,True,130.0,False,22.95,2.66,13763,6971,6792,exact,Bassar,Dimori,TG020205,284.1622148,48.4,0.0,7.27
Kara,Bassar,Kabou,1.0,70,0.814907663722317,9.459923813299378,False,328.0,False,0.83,0.37,26604,13288,13316,exact,Bassar,Kabou,TG020206,388.4234365,68.5,0.38,26.31
Kara,Bassar,Kalanga,0.0,7,0.6809932493201639,9.275561114052692,True,85.0,True,11.04,1.65,7399,3700,3699,exact,Bassar,Kalanga,TG020207,122.49660587,60.4,0.0,9.46
Kara,Bassar,Manga,0.0,10,0.7043079822773926,9.557877341301237,True,130.0,False,16.62,0.51,7269,3494,3775,exact,Bassar,Manga,TG020208,73.99154392,98.2,0.0,13.76
Kara,Bassar,Sanda-Afohou,0.0,12,0.9419449271356942,9.4831947109757,True,157.0,False,14.62,0.12,6015,2928,3087,exact,Bassar,Sanda-Afohou,TG020209,197.15201865,30.5,0.0,19.95
Kara,Bassar,Sanda-Kagbanda,0.0,17,0.8976772658997341,9.487535740001874,True,200.0,False,10.13,0.21,10642,5234,5408,exact,Bassar,Sanda-Kagbanda,TG020210,271.75138587,39.2,0.0,15.97
Kara,Binah,Boufalé,0.0,12,1.3506727875978628,9.839788920768553,True,157.0,False,27.84,1.8,5801,2836,2965,exact,Binah,Boufale,TG020301,55.44773884,104.6,0.0,20.69
Kara,Binah,Kémérida,0.0,9,1.3565287538000492,9.667703460385733,True,112.0,False,22.79,0.07,7182,3434,3748,exact,Binah,Kemerida,TG020302,44.31056683,162.1,0.0,12.53
Kara,Binah,Kétao,0.0,99,1.3098780768364262,9.659132398414597,True,339.0,False,18.19,0.06,25809,12632,13177,exact,Binah,Ketao,TG020303,48.82683483,528.6,0.0,38.36
Kara,Binah,Lama-Dessi,0.0,12,1.2714007367913405,9.719932905762809,True,157.0,False,18.62,1.5,3932,1959,1973,exact,Binah,Lama-Dessi,TG020304,39.88286514,98.6,0.0,30.52
Kara,Binah,Pagouda,0.0,47,1.3225498883586746,9.745842119218443,True,309.0,False,23.62,0.11,16870,8281,8589,exact,Binah,Pagouda,TG020305,132.57974435,127.2,0.0,27.86
Kara,Binah,Pessaré,0.0,7,1.245372788532285,9.796120308362175,True,85.0,True,15.44,0.11,6329,3092,3237,exact,Binah,Pessare,TG020306,66.568406,95.1,0.0,11.06
Kara,Binah,Pitikita,0.0,2,1.2277307939850313,9.77205752428699,True,14.0,True,13.15,0.11,1484,726,758,exact,Binah,Pitikita,TG020307,19.2039814,77.3,0.0,13.48
Kara,Binah,Sirka,0.0,12,1.3308865891731836,9.553136142924176,True,157.0,False,15.64,0.29,7169,3517,3652,exact,Binah,Sirka,TG020308,63.28803867,113.3,0.0,16.74
Kara,Binah,Solla,0.0,12,1.3485703986740052,9.890197543996882,True,157.0,False,29.78,0.06,9623,4808,4815,exact,Binah,Sola,TG020309,110.64992863,87.0,0.0,12.47
Kara,Dankpen,Bapuré,0.0,20,0.5957034965288013,9.526958975927032,True,225.0,False,17.88,0.7,25428,12782,12646,exact,Dankpen,Bapure,TG020401,245.63003314,103.5,0.0,7.87
Kara,Dankpen,Guérin-Kouka,1.0,96,0.6076665443978834,9.69254824310482,False,337.0,False,0.59,0.01,48399,23973,24426,exact,Dankpen,Guerin-Kouka,TG020402,441.03967507,109.7,0.21,19.84
Kara,Dankpen,Katchamba,0.0,7,0.508731483420459,9.899716047216023,True,85.0,True,26.03,2.62,9121,4461,4660,exact,Dankpen,Katchamba,TG020403,135.6674787,67.2,0.0,7.67
Kara,Dankpen,Kidjabou,0.0,7,0.4710817096672489,9.778020419933894,True,85.0,True,18.13,0.74,18857,9251,9606,fuzzy,Dankpen,Kidjaboun,TG020404,340.62671867,55.4,0.0,3.71
Kara,Dankpen,Koulféikou,0.0,11,0.40413580596875137,9.961602051727793,True,146.0,False,37.84,1.24,9518,4695,4823,fuzzy,Dankpen,Koulfiekou,TG020405,167.93817176,56.7,0.0,11.56
Kara,Dankpen,Koutchitchéou,0.0,8,0.7496467786464202,9.61251559676052,True,99.0,False,17.56,3.06,3742,1818,1924,exact,Dankpen,Koutchitcheou,TG020406,43.17752585,86.7,0.0,21.38
Kara,Dankpen,Namon,0.0,10,0.814560499968524,9.724811640513948,True,130.0,False,22.96,0.68,9389,4650,4739,exact,Dankpen,Namon,TG020407,141.89661729,66.2,0.0,10.65
Kara,Dankpen,Nandouta,0.0,5,0.3748852496200456,9.55521199557837,True,56.0,True,29.53,1.33,14114,6930,7184,exact,Dankpen,Nandouta,TG020409,358.47275677,39.4,0.0,3.54
Kara,Dankpen,Naompoch,0.0,8,0.62771586765928,9.811929451619415,True,99.0,False,14.02,2.25,9256,4534,4722,fuzzy,Dankpen,Nampoch,TG020408,123.24542845,75.1,0.0,8.64
Kara,Dankpen,Natchiboré,0.0,6,0.8015805619087882,9.805897508561065,True,71.0,True,24.93,1.6,11741,5747,5994,exact,Dankpen,Natchibore,TG020410,182.02539185,64.5,0.0,5.11
