FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,operateur,geometry
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5067,Maritime,Lacs,Lacs 1,Canton D’Aneho,"Moov, Togocom",POINT (1.6123200000000002 6.238811666666667)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5066,Kara,Kéran,Kéran 1,Kantè,Nsp,POINT (1.0577416666666666 9.954056666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5065,Kara,Kéran,Kéran 1,Kantè,Togocom,POINT (1.0541983333333333 9.960158333333334)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5064,Kara,Kozah,Kozah 1,Commune De Kara,Togocom,POINT (1.1861199999999998 9.545313333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5063,Maritime,Lacs,Lacs 3,Agbodrafo,"Moov, Togocom",POINT (1.4779183333333332 6.209051666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5062,Kara,Kozah,Kozah 1,Commune De Kara,Togocom,POINT (1.21352 9.559763333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5061,Kara,Kozah,Kozah 2,Kouméa,Togocom,POINT (1.2204766666666667 9.696168333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5060,Maritime,Lacs,Lacs 1,Canton D’Aneho,Togocom,POINT (1.6132981745723232 6.238510971441355)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-505f,Kara,Kéran,Kéran 1,Kantè,"Moov, Togocom",POINT (1.0502049999999998 9.958993333333332)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-505e,Kara,Kozah,Kozah 1,Commune De Kara,Togocom,POINT (1.1901583333333332 9.547065)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-505d,Maritime,Lacs,Lacs 1,Canton D’Aneho,"Moov, Togocom",POINT (1.6143816666666666 6.23889)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-505c,Maritime,Lacs,Lacs 1,Canton D’Aneho,"Moov, Togocom",POINT (1.6144545900296854 6.238903211228973)
