FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,activite_statut,activite_categorie,toilette_type,geometry
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f6f,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Telessou ,Agence Moov Store Telessou,"Agence Moov Store Telessou, Telessou ","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp ,Nsp,Agence Moov,Nsp,POINT (1.1745742061042703 6.213509940345563)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f6e,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidoadin,Agence Moov Adidoadin,"Agence Moov Adidoadin, Adidoadin","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,Nsp,Agence Moov,Nsp,POINT (1.1883008398175776 6.199214219034881)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f6d,Maritime,Golfe,Golfe 3,Bè-Ouest,Nukafu,Agence Togocom Nukafu,"Agence Togocom Nukafu, Nukafu","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp ,{Utilise},Agence Togocom,"{WCs,Douches}",POINT (1.2344596 6.1644454)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f6c,Maritime,Golfe,Golfe 4,Amoutivé,Nyekonakpoe,Agence Togocom Place de L'Indépendance,"Agence Togocom Place de L'Indépendance, Nyekonakpoe","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2013,{Utilise},Agence Togocom,Nsp,POINT (1.2146216666666667 6.129416666666667)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f6b,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Sanguera,Franchise Togocom Sanguera,"Franchise Togocom Sanguera, Sanguera","{Lundi,Mardi,Mercredi,jeudi,Samedi}",2021,{Utilise},Agence Togocom,"{WCs,Latrines a eau,autre}",POINT (1.1107266666666669 6.2320899999999995)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f6a,Maritime,Golfe,Golfe 2,Bè-Centre,Hedzranawoe,Agence Togocom Hedzranawoe,"Agence Togocom Hedzranawoe, Hedzranawoe","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2019,{Utilise},Agence Togocom,"{WCs,Douches}",POINT (1.2401200000000001 6.1791599999999995)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f69,Maritime,Golfe,Golfe 2,Bè-Centre,Aéroport ,Agence Togocom Aéroport,"Agence Togocom Aéroport, Aéroport ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp ,Nsp,Agence Togocom,Nsp,POINT (1.253233822136575 6.170704783267905)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f68,Maritime,Golfe,Golfe 3,Bè-Ouest,Nukafu,Agence Moov Nukafu,"Agence Moov Nukafu, Nukafu","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2017,{Utilise},Agence Moov,"{WCs,Douches}",POINT (1.2344614186634568 6.170216280162648)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f67,Maritime,Golfe,Golfe 1,Bè-Est,Kpota,Agence Moov Be Kpota,"Agence Moov Be Kpota, Kpota","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2017,{Utilise},Agence Moov,"{WCs,Douches}",POINT (1.2552833333333333 6.157663333333333)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f66,Maritime,Golfe,Golfe 1,Bè-Est,Ahadji Kpota,Agence Togocom Ahadji Kpota,"Agence Togocom Ahadji Kpota, Ahadji Kpota","{Mardi,Lundi,Mercredi,jeudi,Vendredi,Samedi}",2020,{Utilise},Agence Togocom,"{WCs,Douches}",POINT (1.2843859759132503 6.161972925390809)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f65,Maritime,Golfe,Golfe 1,Bè-Est,Ocam,Agence Moov Ocam,"Agence Moov Ocam, Ocam, BP14511 Lomé ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,"{WCs,Douches}",POINT (1.24004 6.130493333333334)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f64,Maritime,Golfe,Golfe 4,Amoutivé,Hanoukope,Agence Moov Hanoukope,"Agence Moov Hanoukope, Hanoukope","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2013,{Utilise},Agence Moov,"{WCs,Douches}",POINT (1.219526636567681 6.135790653612904)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f63,Maritime,Golfe,Golfe 1,Bè-Est,Adakpame,Agence Moov Teddycom Adakpame,"Agence Moov Teddycom Adakpame, Adakpame, 21BP182","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2019,{Utilise},Agence Moov,{WCs},POINT (1.2848016666666666 6.159930000000001)
