prefecture_pdf,canton_pdf,masculin,feminin,population_totale,adm2_name,adm3_name,adm3_pcode,center_lat,center_lon,area_sqkm,method
Moyen-Mono,SALIGBE,5951,7517,13468,Moyen-Mono,Saligbe,TG040804,7.2424235,1.5824921,78.02533296,exact_pref
Haho,NOTSE,28691,30292,58983,Haho,Notse,TG040607,6.926579,1.05355835,560.26376764,exact_pref
Haho,ATCHAVE,12708,12852,25560,Haho,Atsave,TG040602,6.8737715,1.31155966,305.8034716,fuzzy
Haho,DALIA,8078,8294,16372,Haho,Dalia,TG040603,6.817003,1.18224255,158.84354598,exact_pref
Haho,HAHOMEGBE,9691,9323,19014,,,,,,,unmatched
Haho,ASRAMA,23926,27068,50994,Haho,Assrama,TG040601,6.9901975,1.45830479,618.2469279,fuzzy
Haho,DJEMEGNI,14004,17509,31513,Haho,Djemegni,TG040604,7.0311175,1.3160669,203.60055166,exact_pref
Haho,KPEDOME,23016,23310,46326,Haho,Kpedome,TG040605,7.071503,1.11320004,598.09111608,exact_pref
Haho,AKPAKPAKPE,6218,6151,12369,,,,,,,unmatched
Haho,WAHALA,18028,18675,36703,Haho,Wahala,TG040608,7.2075155,1.28973092,444.20850382,exact_pref
Haho,AYITO,3669,3593,7262,Haho,Kpegnon/Haito,TG040606,7.187081,0.9940611,161.64913097,fuzzy
Agou,AGOU TAVIE,4367,4652,9019,Agou,Agou Agbetiko/Agou Dzidjole,TG040304,6.925972,0.7341313,68.62937884,fuzzy
Agou,AGOU-AKPLOLO,1274,1335,2609,Agou,Agou-Akplolo,TG040309,6.918968,0.79349672,45.41306757,exact_pref
Agou,AGOU KEBO,1274,1434,2708,Agou,Agou Kebo,TG040307,6.8685685,0.74171738,18.00283718,exact_pref
Agou,AGOU YIBOE,1524,1370,2894,Agou,Agou Yiboe/Kati,TG040308,6.9065205,0.87802648,109.95967608,fuzzy
Agou,KATI,4047,4184,8231,Agou,Agou Yiboe/Kati,TG040308,6.9065205,0.87802648,109.95967608,fuzzy
Agou,GADJA,10361,10273,20634,Agou,Gadja,TG040311,6.803169,0.84803928,207.46754634,exact_pref
Agou,AGOU ATIGBE,926,919,1845,Agou,Agou Atigbe,TG040305,6.7901165,0.74948677,33.60276265,exact_pref
Agou,ADJAHUN FIAGBE,1486,1448,2934,Agou,Adjahun Fiagbe,TG040301,6.762418,0.73506917,63.20770563,exact_pref
Agou,NYOGBO-NORD_ NYOGBO-SUD,3721,3733,7454,,,,,,,unmatched
Agou,AMOUSSOU KOPE,5799,5898,11697,Agou,Amoussou Kope,TG040310,6.661579,0.84432609,137.50501514,exact_pref
